user,post date-time,account status,account sentiment,account sentiment score,retweet status,retweet sentiment,retweet sentiment score,post location,tweet id,account subjectivity,retweet subjectivity
LawOfDriverless,2020-07-16 16:08:39,"Interesting to see what @KPMG makes of the developments in the UK in #AutonomousVehicles in the last year, in their annual Autonomous Vehicles Readiness Index: https://t.co/JPUr3U6cru",positive,0.3,,,,,1283795692482449416,0.4222222222222222,
LawOfDriverless,2020-07-16 09:29:00,,,,"Fascinating work done by #UK automated vehicle company 🚗@oxbotica to navigate #CAVs through ""urban canyons"" and other environments where GPS signal is lost or degraded 📡#FutureOfTransport

https://t.co/BBc520iTzR",positive,0.19166666666666665,,1283695117874929665,,0.4083333333333334
LawOfDriverless,2020-07-15 22:11:13,,,,"“Autopilot, ProPilot, CoPilot: Automakers have many names for new systems that allow for hands-free driving, but no safety or performance standards to follow as they roll out the most significant changes to vehicle technology in a generation.” https://t.co/IOJXK699r8",positive,0.37784090909090906,,1283524547967430667,,0.5823863636363636
LawOfDriverless,2020-07-15 07:47:12,,,,"This seems to confirm that yet another Autopilot-involved crash took place today in Arizona. NHTSA has investigated at least 14 such crashes prior to this one, and has only issued reports on two. NTSB vented frustration at NHTSA's inaction over a year ago https://t.co/AYU8RhYLT8 https://t.co/j6ECXyKksy",negative,-0.075,,1283307110491709440,,0.475
_AVPodcast,2019-12-06 18:21:19,"""The market for automotive computer chips is expected to grow from about $40 billion today, per IHS Markit, to as much as $200 billion by 2040, according to KPMG.""
https://t.co/oQHpt8THMb #autonomousvehicles",positive,0.05,,,,,1203016585960493056,0.30000000000000004,
_AVPodcast,2019-11-21 16:02:34,"Apple Podcasts: https://t.co/XbO7P9gfOs
Spotify: https://t.co/C4FzzICxFh
Stitcher: https://t.co/bQeHLKCt5B
Google Play Music: https://t.co/YrIRES3UWd

Full Episode List: https://t.co/M77H7LWbLI",positive,0.35,,,,,1197545848759939074,0.55,
_AVPodcast,2019-11-21 16:02:34,"In this episode we discuss the challenges and opportunities associated with the massive datasets created by vehicles today, how this data can and will be commercialized in the coming years, and what this all means for software development in the automotive industry.",neutral,0.0,,,,,1197545847430336513,1.0,
_AVPodcast,2019-11-21 16:02:33,"Episode #11 - Today’s guest is @Heiser, Co-founder and CEO of @renovo_auto. #AutonomousVehicles https://t.co/FOBaebLDFU",neutral,0.0,,,,,1197545843651424257,0.0,
_AVPodcast,2019-11-21 15:58:28,"Apple Podcasts: https://t.co/XbO7P9gfOs
Spotify: https://t.co/C4FzzICxFh
Stitcher: https://t.co/bQeHLKCt5B
Google Play Music: https://t.co/YrIRES3UWd

Full Episode List: https://t.co/M77H7LWbLI",positive,0.35,,,,,1197544817661624322,0.55,
selfdriving360,2020-07-16 18:09:00,"Learn how we fuse inputs from camera and radar sensors for robust self-driving perception - Via @NVIDIADRIVE 

https://t.co/8NexV7CdqG  

Read/Add #SelfDrivingCars news
https://t.co/bpSD60NE0w

#computervision #machinelearning #deeplearning #ml #dl #ai 
#driverlesscars https://t.co/AR5h0bocVE",neutral,0.0,,,,,1283825978385432577,0.0,
selfdriving360,2020-07-16 17:33:00,"Search for V2V, V2X HARDWARE suppliers in the specialised industry directory -

https://t.co/u41bFGwR7h

#selfdrivingcars #selfdriving #driverless
#driverlesscars #autonomouscars #autonomousvehicles https://t.co/yEmZtrEcSm",neutral,0.0,,,,,1283816918848114688,0.0,
selfdriving360,2020-07-16 17:07:10,"#selfdrivingcars #driverlesscars #autonomouscars #autonomousvehicles #selfdriving #driverless #cars #automotive #transport 

https://t.co/9zrXNXVJVL",neutral,0.0,,,,,1283810419858116611,0.0,
selfdriving360,2020-07-16 16:01:00,"Self-driving excavators have arrived to construction sites - via @CNBC 

Read/Add #SelfDrivingCars news
https://t.co/bpSD60w38Y

#driverlesscars #autonomouscars #autonomousvehicles 
#selfdriving #driverless #robocars #cars #automotive #technology https://t.co/X2UwYHiA13",neutral,0.0,,,,,1283793766479024128,0.0,
